stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1732515,,"ON CHOUTEAU AT DERAMUS SB",,  39.136055, -94.527689,,,0,
1732516,,"ON FRONT ST AT KANSAS WB",,  39.128794, -94.546899,,,0,
1732901,,"ON FRONT ST AT JACKSON EB",,  39.130958, -94.531853,,,0,
1733,,"ON CORRINGTON AT 43RD ST SB MIDBLOCK",,  39.170916, -94.495185,,,0,
1750003,,"ON 63RD AT JACKSON WESTBOUND",,  39.011737, -94.537447,,,0,
1750007,,"ON CLEVELAND AT 67TH SOUTHBOUND",,  39.004754, -94.542650,,,0,
1750009,,"ON CLEVELAND AT 68TH SOUTHBOUND FARSIDE",,  39.002702, -94.542772,,,0,
1750011,,"ON CLEVELAND AT 69TH SOUTHBOUND",,  39.001108, -94.542839,,,0,
1750013,,"ON CLEVELAND AT GREGORY SOUTHBOUND",,  38.998355, -94.542938,,,0,
1750015,,"ON CLEVELAND AT 72ND SOUTHBOUND",,  38.995645, -94.543081,,,0,
1750016,,"ON CLEVELAND AT 73RD SOUTHBOUND",,  38.993636, -94.543162,,,0,
1750017,,"ON CLEVELAND AT 75TH SOUTHBOUND",,  38.990340, -94.543316,,,0,
1750018,,"ON 75TH AT MONROE WESTBOUND",,  38.990273, -94.545017,,,0,
1750021,,"ON 75TH AT COLLEGE WESTBOUND",,  38.990475, -94.549045,,,0,
1750022,,"ON 75TH AT WALROND WESTBOUND",,  38.990533, -94.550162,,,0,
1750026,,"ON 75TH AT BROOKLYN WESTBOUND NEARSIDE",,  38.991040, -94.561738,,,0,
1750028,,"ON 75TH AT PASEO WESTBOUND",,  38.991218, -94.565930,,,0,
1750029,,"ON 75TH AT WAYNE WESTBOUND",,  38.991346, -94.568659,,,0,
1750030,,"ON 75TH AT LYDIA WESTBOUND",,  38.991405, -94.570945,,,0,
1750032,,"ON 75TH AT TROOST WESTBOUND",,  38.991603, -94.575539,,,0,
1750034,,"ON 75TH AT HOLMES WESTBOUND",,  38.991770, -94.580222,,,0,
1750036,,"ON 75TH AT OAK WESTBOUND",,  38.991985, -94.584798,,,0,
1750038,,"ON 75TH AT MAIN WESTBOUND",,  38.992192, -94.589444,,,0,
1750039,,"ON 75TH AT WYANDOTTE WESTBOUND",,  38.992301, -94.591748,,,0,
1750040,,"ON 75TH AT BROADWAY WESTBOUND",,  38.992384, -94.593737,,,0,
1750042,,"ON 75TH AT JEFFERSON WESTBOUND",,  38.992609, -94.597268,,,0,
1750043,,"ON 75TH AT MADISON WESTBOUND",,  38.992758, -94.601028,,,0,
1750045,,"ON 75TH AT WARD PKWY WESTBOUND",,  38.992853, -94.603343,,,0,
1750047,,"ON 75TH AT WYOMING WESTBOUND",,  38.992984, -94.606781,,,0,
1750048,,"ON STATE LINE AT 7532 STATE LINE SOUTHBOUND",,  38.992249, -94.608024,,,0,
1750049,,"ON STATE LINE BETWEEN 76TH & MEADOWLAKE SB",,  38.990357, -94.608043,,,0,
1750050,,"ON STATE LINE AT 79TH SOUTHBOUND",,  38.987603, -94.608063,,,0,
1750051,,"ON STATE LINE AT 7920 SB",,  38.985214, -94.608220,,,0,
1750053,,"ON STATE LINE AT 81ST SOUTHBOUND",,  38.981949, -94.608374,,,0,
1750054,,"ON STATE LINE AT 82ND STREET SOUTHBOUND",,  38.980108, -94.608529,,,0,
1750055,,"ON STATE LINE AT 83RD SOUTHBOUND",,  38.978906, -94.608580,,,0,
1750056,,"ON STATE LINE AT 84TH TERRACE SOUTHBOUND NEARSIDE",,  38.975214, -94.608425,,,0,
1750061,,"ON WARD PKWY AT 89TH SOUTHBOUND",,  38.967266, -94.605253,,,0,
1750066,,"ON STATE LINE BTWN AT 85TH TERR & 85TH ST NB",,  38.974291, -94.608107,,,0,
1750067,,"ON STATE LINE AT 84TH NORTHBOUND",,  38.976480, -94.608210,,,0,
1750068,,"ON STATE LINE AT 83RD NORTHBOUND",,  38.978568, -94.608314,,,0,
1750069,,"ON STATE LINE AT 82ND SPRINT NORTHBOUND",,  38.980221, -94.608263,,,0,
1750070,,"ON STATE LINE AT 8015 NORTHBOUND",,  38.983417, -94.608184,,,0,
1750071,,"ON STATE LINE AT 79TH NB",,  38.985210, -94.608066,,,0,
1750072,,"ON STATE LINE AT MEADOWLAKE TERR NORTHBOUND",,  38.987588, -94.607937,,,0,
1750073,,"ON STATE LINE AT MEADOWLAKE NORTHBOUND",,  38.989864, -94.607912,,,0,
1750074,,"ON 75TH AT STATE LINE EASTBOUND",,  38.992897, -94.607360,,,0,
1750076,,"ON 75TH AT WARD PKWY EASTBOUND",,  38.992791, -94.603934,,,0,
1750077,,"ON 75TH AT MADISON EASTBOUND",,  38.992668, -94.600888,,,0,
1750078,,"ON 75TH AT JEFFERSON EASTBOUND",,  38.992515, -94.597424,,,0,
1750080,,"ON 75TH AT BROADWAY EB",,  38.992282, -94.593703,,,0,
1750081,,"ON 75TH AT WYANDOTTE EASTBOUND",,  38.992196, -94.591989,,,0,
1750084,,"ON 75TH AT OAK EASTBOUND",,  38.991899, -94.585071,,,0,
1750086,,"ON 75TH AT HOLMES EASTBOUND",,  38.991684, -94.580402,,,0,
1750088,,"ON 75TH AT TROOST EASTBOUND",,  38.991516, -94.575833,,,0,
1750090,,"ON 75TH AT LYDIA EASTBOUND",,  38.991363, -94.571186,,,0,
1750091,,"ON 75TH BETWEEN WAYNE & HIGHLAND EB",,  38.991211, -94.568204,,,0,
1750092,,"ON 75TH AT PASEO EASTBOUND",,  38.991110, -94.566653,,,0,
