service_id,date,exception_type
Jul-2022-Weekday-17-J-202207-1111100,20230621,1
AprWk-Weekday-1-202304-1111100,20230621,1
STCm-thr-Mon-Thu-43-STC2021APR-1111000,20230621,1
STCm-thr-Mon-Thu-43-STC2021APR-1111110,20230621,1
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230621,1
UGT-Weekday-15-UGT-1111100,20230621,1
INDEWk1-Weekday-22-INDE2015-1111100,20230622,1
Jul-2022-Weekday-17-J-202207-1111000,20230622,1
Jul-2022-Weekday-17-J-202207-1111100,20230622,1
AprWk-Weekday-1-202304-1111100,20230622,1
STCm-thr-Mon-Thu-43-STC2021APR-1111000,20230622,1
STCm-thr-Mon-Thu-43-STC2021APR-1111110,20230622,1
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230622,1
UGT-Weekday-15-UGT-1111100,20230622,1
INDEWk1-Weekday-22-INDE2015-1111100,20230623,1
Jul-2022-Weekday-17-J-202207-1111100,20230623,1
AprWk-Weekday-1-202304-1111100,20230623,1
STCfri-Friday-48-STC2021APR-0000100,20230623,1
STCfri-Friday-48-STC2021APR-1111110,20230623,1
STCfri-Friday-48-STC2021APR-1111111,20230623,1
UGT-Weekday-15-UGT-1111100,20230623,1
INDESat1-Saturday-21-INDE2015-0000010,20230624,1
AprSat-Saturday-1-202304-0000010,20230624,1
STCsat-Saturday-51-STC2021APR-0000010,20230624,1
AprSun-Sunday-1-202304-0000001,20230625,1
May2022-Sunday-37-STC2021APR-0000001,20230625,1
May2022-Sunday-37-STC2021APR-1111111,20230625,1
INDEWk1-Weekday-22-INDE2015-1111100,20230626,1
Jul-2022-Weekday-17-J-202207-1111000,20230626,1
Jul-2022-Weekday-17-J-202207-1111100,20230626,1
AprWk-Weekday-1-202304-1111100,20230626,1
STCm-thr-Mon-Thu-43-STC2021APR-1111000,20230626,1
STCm-thr-Mon-Thu-43-STC2021APR-1111110,20230626,1
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230626,1
UGT-Weekday-15-UGT-1111100,20230626,1
INDEWk1-Weekday-22-INDE2015-1111100,20230627,1
Jul-2022-Weekday-17-J-202207-1111000,20230627,1
Jul-2022-Weekday-17-J-202207-1111100,20230627,1
AprWk-Weekday-1-202304-1111100,20230627,1
STCm-thr-Mon-Thu-43-STC2021APR-1111000,20230627,1
STCm-thr-Mon-Thu-43-STC2021APR-1111110,20230627,1
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230627,1
UGT-Weekday-15-UGT-1111100,20230627,1
INDEWk1-Weekday-22-INDE2015-1111100,20230628,1
Jul-2022-Weekday-17-J-202207-1111000,20230628,1
Jul-2022-Weekday-17-J-202207-1111100,20230628,1
AprWk-Weekday-1-202304-1111100,20230628,1
STCm-thr-Mon-Thu-43-STC2021APR-1111000,20230628,1
STCm-thr-Mon-Thu-43-STC2021APR-1111110,20230628,1
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230628,1
UGT-Weekday-15-UGT-1111100,20230628,1
INDEWk1-Weekday-22-INDE2015-1111100,20230629,1
Jul-2022-Weekday-17-J-202207-1111000,20230629,1
Jul-2022-Weekday-17-J-202207-1111100,20230629,1
AprWk-Weekday-1-202304-1111100,20230629,1
STCm-thr-Mon-Thu-43-STC2021APR-1111000,20230629,1
STCm-thr-Mon-Thu-43-STC2021APR-1111110,20230629,1
STCm-thr-Mon-Thu-43-STC2021APR-1111111,20230629,1
UGT-Weekday-15-UGT-1111100,20230629,1
INDEWk1-Weekday-22-INDE2015-1111100,20230630,1
Jul-2022-Weekday-17-J-202207-1111100,20230630,1
AprWk-Weekday-1-202304-1111100,20230630,1
STCfri-Friday-48-STC2021APR-0000100,20230630,1
STCfri-Friday-48-STC2021APR-1111110,20230630,1
STCfri-Friday-48-STC2021APR-1111111,20230630,1
UGT-Weekday-15-UGT-1111100,20230630,1
INDESat1-Saturday-21-INDE2015-0000010,20230701,1
AprSat-Saturday-1-202304-0000010,20230701,1
STCsat-Saturday-51-STC2021APR-0000010,20230701,1
